SpeechID,Speech,Speaker,Location,Year
1,"We're live from Georgia, a key battleground state in the race for the White House.",Moderator,Atlanta,2024
2,"In just moments, the current U.S. president will debate the former U.S. president as their parties' presumptive nominees, a first in American history.",Moderator,Atlanta,2024
3,We want to welcome our viewers in the United States and around the world to our studios in Atlanta. This is the CNN presidential debate.,Moderator,Atlanta,2024
4,"This debate is being produced by CNN and it's coming to you live on CNN, CNN International, CNN.com, CNN Max, and CNN Espanol.",Moderator,Atlanta,2024
5,This is a pivotal moment between President Joe Biden and former President Donald Trump in their rematch for the nation's highest office.,Moderator,Atlanta,2024
6,"Each will make his case to the American people with just over four months until Election Day. Good evening. I'm Dana Bash, anchor of CNN's ""INSIDE POLITICS"" and co-anchor of ""STATE OF THE UNION"".",Moderator,Atlanta,2024
7,"I'm Jake Tapper, anchor of CNN's ""THE LEAD"" and co-anchor of ""STATE OF THE UNION"". Dana and I will co-moderate this evening. Our job he is to facilitate a debate between the two candidates tonight.",Moderator,Atlanta,2024
8,"Before we introduce them, we wanted to share the rules of the debate with the audience at home. Former President Trump will be on the left side of the screen.",Moderator,Atlanta,2024
9,"President Biden will be appearing on the right. A coin toss determined their positions. Each candidate will have two minutes to answer the question, and one minute each for responses and rebuttals.",Moderator,Atlanta,2024
10,An additional minute for follow-up clarification or response is at the moderator's discretion.,Moderator,Atlanta,2024
11,"When it's time for our candidate to speak, his microphone will be turned on and his opponent's microphone will be turned off.",Moderator,Atlanta,2024
12,"Should a candidate interrupt when his microphone is muted, he will be difficult to understand for viewers at home. At the end of the debate, each candidate will get two minutes for closing statements.",Moderator,Atlanta,2024
13,"There is no studio audience tonight. Pre-written notes, props, or contact with campaign staff are not permitted during the debate.",Moderator,Atlanta,2024
14,"By accepting our invitation to debate, both candidates and their campaigns agreed to accept these rules.",Moderator,Atlanta,2024
15,"Now, please welcome the 46th of the United States, Joe Biden.",Moderator,Atlanta,2024
16,"Folks, how are you? Good to be here. Thank you.",Biden,Atlanta,2024
17,"And please welcome the 45th president of the United States, Donald Trump. Gentlemen, thanks so much for being here. Let's begin the debate.",Moderator,Atlanta,2024
18,"And let's start with the issue that voters consistently say is their top concern, the economy. President Biden, inflation has slowed, but prices remain high. Since you took office, the price of essentials has increased.",Moderator,Atlanta,2024
19,"For example, a basket of groceries that cost $100, then, now costs more than $120. And typical home prices have jumped more than 30 percent.",Moderator,Atlanta,2024
20,What do you say to voters who feel they are worse off under your presidency than they were under President Trump?,Moderator,Atlanta,2024
21,"We've got to take a look at what I was left when I became president, what Mr. Trump left me. We had an economy that was in freefall. The pandemic was so badly handled.",Biden,Atlanta,2024
22,"Many people were dying. All he said was it's not that serious, just inject a little bleach in your arm. You'll be all right. The economy collapsed. There were no jobs.",Biden,Atlanta,2024
23,"The unemployment rate rose to 15 percent. It was terrible. And so, what we had to do is try to put things back together again. And that's exactly what we began to do.",Biden,Atlanta,2024
24,"We created 15,000 new jobs. We brought out in a position where we have 800,000 new manufacturing jobs. But there's more to be done. There's more to be done. Working-class people are still in trouble.",Biden,Atlanta,2024
25,"I come from Scranton, Pennsylvania. I come of household where the kitchen table – if things weren't able to be met during the month, was a problem.",Biden,Atlanta,2024
26,"Price of eggs, the price of gas, the price of housing, the price of a whole range of things.",Biden,Atlanta,2024
27,"That's why I'm working so hard to make sure I deal with those problems, and we're going to make sure that we have reduced the price of housing.",Biden,Atlanta,2024
28,"We're going to make sure we build 2 million new units. We're going to make sure we cap rents, so corporate greed can't take over.",Biden,Atlanta,2024
29,The combination of what I was left with and corporate greed are the reason why we're in this problem right now.,Biden,Atlanta,2024
30,"In addition to that, we're in a situation where if you had to take a look at all that was done at his administration, he didn't do much at all.",Biden,Atlanta,2024
31,"By the time he left, there's – things were in chaos, literally chaos. And so we put things back together. We created, as I said, those jobs.",Biden,Atlanta,2024
32,"We made sure we had a situation where we now – we brought down the price of prescription drugs, which is a major issue for many people, to $15 for",Biden,Atlanta,2024
33,"– for an insulin shot, as opposed to $400. No senior has to pay more than $200 for any drug, all the drugs they can include (ph) beginning next year.",Biden,Atlanta,2024
34,"And the situation is making – and we're going to make that available to everybody, to all Americans. So we're working to bring down the price of – around the kitchen table.",Biden,Atlanta,2024
35,And that's what we're going to get done.,Biden,Atlanta,2024
36,Thank you. President Trump?,Moderator,Atlanta,2024
37,We had the greatest economy in the history of our country. We have never done so well. Every – everybody was amazed by it. Other countries were copying us. We got hit with COVID.,Trump,Atlanta,2024
38,"And when we did, we spent the money necessary so we wouldn't end up in a Great Depression, the likes of which we had in 1929.",Trump,Atlanta,2024
39,By the time we finished – so we did a great job.,Trump,Atlanta,2024
40,"We got a lot of credit for the economy, a lot of credit for the military, and no wars and so many other things. Everything was rocking good.",Trump,Atlanta,2024
41,"But the thing we never got the credit for, and we should have, is getting us out of that COVID mess. He created mandates – that was a disaster for our country.",Trump,Atlanta,2024
42,"But other than that, we had – we had given them back a – a country where the stock market actually was higher than pre-COVID. And nobody thought that was even possible.",Trump,Atlanta,2024
43,"The only jobs he created are for illegal immigrants and bounce-back jobs, they're bounced back from the COVID. He has not done a good job. He has done a poor job.",Trump,Atlanta,2024
44,And inflation's killing our country. It is absolutely killing us.,Trump,Atlanta,2024
45,Thank you. President Biden?,Moderator,Atlanta,2024
46,"Well, look, the greatest economy in the world, he's the only one who thinks that, I think.",Biden,Atlanta,2024
47,I don't know anybody else who thinks it was great – he had the greatest economy in the world.,Biden,Atlanta,2024
48,"And, you know, the fact of the matter is that we found ourselves in a situation where his economy, he rewarded the wealthy. He had the largest tax cut in American history, $2 trillion.",Biden,Atlanta,2024
49,"He raised the deficit larger than any president has in any one term. He's the only president other than Herbert Hoover who has lost more jobs than he had when he began, since Herbert Hoover.",Biden,Atlanta,2024
50,"The idea that he did something that was significant. And the military, you know, when he was president, they were still killing people in Afghanistan. And he didn't do anything about that.",Biden,Atlanta,2024
51,"When he was president, we were still finding ourselves in a position where you had a notion that we were this safe country.",Biden,Atlanta,2024
52,"The truth is, I'm the only president this century that doesn't have any this – this decade, that doesn't have any troops dying anywhere in the world, like he did.",Biden,Atlanta,2024
53,"President Trump, I want to follow up, if I can, you want –",Moderator,Atlanta,2024
