SpeechID,Speech,Speaker,Location,Year
1,"A very good evening to both of you. This debate will cover six major topics. At the beginning of each section, each candidate will have two minutes, uninterrupted, to answer my first question.",Moderator,Nashville,2020
2,"The debate commission will then turn on their microphone only when it is their turn to answer, and the commission will turn it off exactly when the two minutes have expired.",Moderator,Nashville,2020
3,"After that, both microphones will remain on, but on behalf of the voters, I'm going to ask you to please speak one at a time.",Moderator,Nashville,2020
4,"The goal is for you to hear each other and for the American people to hear every word of what you both have to say. And so with that, if you're ready, let's start.",Moderator,Nashville,2020
5,"And we will begin with the fight against the coronavirus. President Trump, the first question is for you. The country is heading into a dangerous new phase.",Moderator,Nashville,2020
6,"More than 40,000 Americans are in the hospital tonight with COVID, including record numbers here in Tennessee. And since the two of you last shared a stage, 16,000 Americans have died from COVID.",Moderator,Nashville,2020
7,"So please be specific: how would you leave the country during this next stage of the coronavirus crisis? Two minutes, uninterrupted.",Moderator,Nashville,2020
8,"So, as you know, more 2.2 million people, modeled out, were expected to die. We closed up the greatest economy in the world in order to fight this horrible disease that came from China.",Trump,Nashville,2020
9,"It's a worldwide pandemic. It's all over the world. You see the spikes in Europe and many other places right now. If you notice, the mortality rate is down, 85%.",Trump,Nashville,2020
10,"The excess mortality rate is way down, and much lower than almost any other country. And we're fighting it and we're fighting it hard. There is a spike.",Trump,Nashville,2020
11,"There was a spike in Florida, and it's now gone. There was a very big spike in Texas, it's now gone. There was a very big spike in Arizona, it's now gone.",Trump,Nashville,2020
12,"And there were some spikes and surges in other places. They will soon be gone. We have a vaccine that's coming, it's ready.",Trump,Nashville,2020
13,"It's going to be announced within weeks, and it's going to be delivered. We have Operation Warp Speed, which is the military, is going to distribute the vaccine.",Trump,Nashville,2020
14,"I can tell you from personal experience that I was in the hospital, I had it.",Trump,Nashville,2020
15,"And I got better and I will tell you that I had something that they gave me — a therapeutic, I guess they would call it. Some people could say it was a cure.",Trump,Nashville,2020
16,But I was in for a short period of time and I got better very fast or I wouldn't be here tonight. And now they say I'm immune.,Trump,Nashville,2020
17,"Whether it's four months or a lifetime, nobody's been able to say that, but I'm immune. More and more people are getting better. We have a problem that's a worldwide problem.",Trump,Nashville,2020
18,"This is a worldwide problem, but I've been congratulated by the heads of many countries on what we've been able to do with the — if you take a look",Trump,Nashville,2020
19,"at what we've done in terms of goggles and masks and gowns and everything else, and in particular, ventilators. We're now making ventilators.",Trump,Nashville,2020
20,"All over the world, thousands and thousands a month, distributing them all over the world, it will go away and as I say, we're rounding the turn, we're rounding the corner, it's going away.",Trump,Nashville,2020
21,"OK, former Vice President Biden, to you, how would you lead the country out of this crisis? You have two minutes uninterrupted.",Moderator,Nashville,2020
22,"220,000 Americans dead. If you hear nothing else I say tonight, hear this.",Biden,Nashville,2020
23,"Anyone who's responsible for not taking control — in fact, not saying, I take no responsibility, initially — anyone who is responsible for that many deaths should not remain as",Biden,Nashville,2020
24,"President of the United States of America. We're in a situation where there are thousands of deaths a day, a thousand deaths a day. And there are over 70,000 new cases per day.",Biden,Nashville,2020
25,"Compared to what's going on in Europe, as the New England Medical Journal said, they're starting from a very low rate. We're starting from a very high rate.",Biden,Nashville,2020
26,"The expectation is we'll have another 200,000 Americans dead by the time, between now and the end of the year.",Biden,Nashville,2020
