SpeechID,Speech,Speaker,Location,Year
1,"Good evening from Hofstra University in Hempstead, New York. I'm Lester Holt, anchor of ""NBC Nightly News."" I want to welcome you to the first presidential debate.",Moderator,Hempstead,2016
2,"The participants tonight are Donald Trump and Hillary Clinton. This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization.",Moderator,Hempstead,2016
3,"The commission drafted tonight's format, and the rules have been agreed to by the campaigns. The 90-minute debate is divided into six segments, each 15 minutes long.",Moderator,Hempstead,2016
4,We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America.,Moderator,Hempstead,2016
5,"At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond.",Moderator,Hempstead,2016
6,"From that point until the end of the segment, we'll have an open discussion. The questions are mine and have not been shared with the commission or the campaigns.",Moderator,Hempstead,2016
7,The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.,Moderator,Hempstead,2016
8,"I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president",Moderator,Hempstead,2016
9,"of the United States, Donald J. Trump.",Moderator,Hempstead,2016
10,"How are you, Donald?",Clinton,Hempstead,2016
11,"Good luck to you. Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled.",Moderator,Hempstead,2016
12,"We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics.",Moderator,Hempstead,2016
13,"I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people.",Moderator,Hempstead,2016
14,"Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values. So, let's begin.",Moderator,Hempstead,2016
15,"We're calling this opening segment ""Achieving Prosperity."" And central to that is jobs. There are two economic realities in America today.",Moderator,Hempstead,2016
16,"There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation.",Moderator,Hempstead,2016
17,"However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck.",Moderator,Hempstead,2016
18,"Beginning with you, Secretary Clinton, why are you a better choice than your opponent to create the kinds of jobs that will put more money into the pockets of American works?",Moderator,Hempstead,2016
19,"Well, thank you, Lester, and thanks to Hofstra for hosting us. The central question in this election is really what kind of country we want to be and what kind of future we'll build together.",Clinton,Hempstead,2016
20,"Today is my granddaughter's second birthday, so I think about this a lot. First, we have to build an economy that works for everyone, not just those at the top.",Clinton,Hempstead,2016
21,"That means we need new jobs, good jobs, with rising incomes. I want us to invest in you. I want us to invest in your future.",Clinton,Hempstead,2016
22,"That means jobs in infrastructure, in advanced manufacturing, innovation and technology, clean, renewable energy, and small business, because most of the new jobs will come from small business.",Clinton,Hempstead,2016
23,"We also have to make the economy fairer. That starts with raising the national minimum wage and also guarantee, finally, equal pay for women's work. I also want to see more companies do profit-sharing.",Clinton,Hempstead,2016
24,"If you help create the profits, you should be able to share in them, not just the executives at the top.",Clinton,Hempstead,2016
25,And I want us to do more to support people who are struggling to balance family and work.,Clinton,Hempstead,2016
26,"I've heard from so many of you about the difficult choices you face and the stresses that you're under. So let's have paid family leave, earned sick days.",Clinton,Hempstead,2016
27,Let's be sure we have affordable child care and debt-free college. How are we going to do it?,Clinton,Hempstead,2016
28,"We're going to do it by having the wealthy pay their fair share and close the corporate loopholes. Finally, we tonight are on the stage together, Donald Trump and I.",Clinton,Hempstead,2016
29,"Donald, it's good to be with you. We're going to have a debate where we are talking about the important issues facing our country.",Clinton,Hempstead,2016
30,"You have to judge us, who can shoulder the immense, awesome responsibilities of the presidency, who can put into action the plans that will make your life better.",Clinton,Hempstead,2016
31,I hope that I will be able to earn your vote on November 8th.,Clinton,Hempstead,2016
32,"Secretary Clinton, thank you. Mr. Trump, the same question to you. It's about putting money—more money into the pockets of American workers. You have up to two minutes.",Moderator,Hempstead,2016
33,"Thank you, Lester. Our jobs are fleeing the country. They're going to Mexico. They're going to many other countries. You look at what China is doing to our country in terms of making our product.",Trump,Hempstead,2016
34,"They're devaluing their currency, and there's nobody in our government to fight them. And we have a very good fight. And we have a winning fight.",Trump,Hempstead,2016
35,"Because they're using our country as a piggy bank to rebuild China, and many other countries are doing the same thing. So we're losing our good jobs, so many of them.",Trump,Hempstead,2016
36,"When you look at what's happening in Mexico, a friend of mine who builds plants said it's the eighth wonder of the world.",Trump,Hempstead,2016
37,"They're building some of the biggest plants anywhere in the world, some of the most sophisticated, some of the best plants. With the United States, as he said, not so much. So Ford is leaving.",Trump,Hempstead,2016
38,"You see that, their small car division leaving. Thousands of jobs leaving Michigan, leaving Ohio. They're all leaving. And we can't allow it to happen anymore.",Trump,Hempstead,2016
39,"As far as child care is concerned and so many other things, I think Hillary and I agree on that.",Trump,Hempstead,2016
40,"We probably disagree a little bit as to numbers and amounts and what we're going to do, but perhaps we'll be talking about that later.",Trump,Hempstead,2016
41,"But we have to stop our jobs from being stolen from us. We have to stop our companies from leaving the United States and, with it, firing all of their people.",Trump,Hempstead,2016
42,"All you have to do is take a look at Carrier air conditioning in Indianapolis. They left—fired 1,400 people. They're going to Mexico. So many hundreds and hundreds of companies are doing this.",Trump,Hempstead,2016
43,"We cannot let it happen. Under my plan, I'll be reducing taxes tremendously, from 35 percent to 15 percent for companies, small and big businesses.",Trump,Hempstead,2016
44,That's going to be a job creator like we haven't seen since Ronald Reagan. It's going to be a beautiful thing to watch. Companies will come. They will build. They will expand.,Trump,Hempstead,2016
