SpeechID,Speech,Speaker,Location,Year
1,"Ladies and gentlemen the Republican nominee for president, Donald J. Trump, and the Democratic nominee for president, Hillary Clinton.",Moderator,Louis,2016
2,Thank you very much for being here. We're going to begin with a question from one of the members in our town hall. Each of you will have two minutes to respond to this question.,Moderator,Louis,2016
3,"Secretary Clinton, you won the coin toss, so you'll go first. Our first question comes from Patrice Brock. Patrice?",Moderator,Louis,2016
4,"Thank you, and good evening. The last debate could have been rated as MA, mature audiences, per TV parental guidelines.",Moderator,Louis,2016
5,"Knowing that educators assign viewing the presidential debates as students' homework, do you feel you're modeling appropriate and positive behavior for today's youth?",Moderator,Louis,2016
6,"Well, thank you. Are you a teacher?",Clinton,Louis,2016
7,"Yes, I think that that's a very good question, because I've heard from lots of teachers and parents about some of their concerns about some of the things that are",Clinton,Louis,2016
8,being said and done in this campaign. And I think it is very important for us to make clear to our children that our country really is great because we're good.,Clinton,Louis,2016
9,"And we are going to respect one another, lift each other up.",Clinton,Louis,2016
10,"We are going to be looking for ways to celebrate our diversity, and we are going to try to reach out to every boy and girl, as well as every",Clinton,Louis,2016
11,"adult, to bring them in to working on behalf of our country. I have a very positive and optimistic view about what we can do together.",Clinton,Louis,2016
12,"That's why the slogan of my campaign is ""Stronger Together,"" because I think if we work together, if we overcome the divisiveness that sometimes sets Americans against one another, and",Clinton,Louis,2016
13,"instead we make some big goals—and I've set forth some big goals, getting the economy to work for everyone, not just those at the top, making sure that we have",Clinton,Louis,2016
14,"the best education system from preschool through college and making it affordable, and so much else.",Clinton,Louis,2016
15,"If we set those goals and we go together to try to achieve them, there's nothing in my opinion that America can't do.",Clinton,Louis,2016
16,So that's why I hope that we will come together in this campaign.,Clinton,Louis,2016
17,"Obviously, I'm hoping to earn your vote, I'm hoping to be elected in November, and I can promise you, I will work with every American.",Clinton,Louis,2016
18,"I want to be the president for all Americans, regardless of your political beliefs, where you come from, what you look like, your religion.",Clinton,Louis,2016
19,"I want us to heal our country and bring it together because that's, I think, the best way for us to get the future that our children and our grandchildren deserve.",Clinton,Louis,2016
20,"Secretary Clinton, thank you. Mr. Trump, you have two minutes.",Moderator,Louis,2016
21,"Well, I actually agree with that. I agree with everything she said. I began this campaign because I was so tired of seeing such foolish things happen to our country. This is a great country.",Trump,Louis,2016
22,This is a great land. I've gotten to know the people of the country over the last year-and-a-half that I've been doing this as a politician.,Trump,Louis,2016
23,"I cannot believe I'm saying that about myself, but I guess I have been a politician. And my whole concept was to make America great again.",Trump,Louis,2016
24,"When I watch the deals being made, when I watch what's happening with some horrible things like Obamacare, where your health insurance and health care is going up by numbers",Trump,Louis,2016
25,"that are astronomical, 68 percent, 59 percent, 71 percent, when I look at the Iran deal and how bad a deal it is for us, it's a one-sided transaction where",Trump,Louis,2016
26,"we're giving back $150 billion to a terrorist state, really, the number one terror state, we've made them a strong country from really a very weak country just three years",Trump,Louis,2016
27,ago.,Trump,Louis,2016
28,"When I look at all of the things that I see and all of the potential that our country has, we have such tremendous potential, whether it's in business and",Trump,Louis,2016
29,"trade, where we're doing so badly. Last year, we had almost $800 billion trade deficit. In other words, trading with other countries. We had an $800 billion deficit. It's hard to believe. Inconceivable.",Trump,Louis,2016
30,"You say who's making these deals? We're going the make great deals. We're going to have a strong border. We're going to bring back law and order. Just today, policemen was shot, two killed.",Trump,Louis,2016
31,"And this is happening on a weekly basis. We have to bring back respect to law enforcement. At the same time, we have to take care of people on all sides. We need justice.",Trump,Louis,2016
32,"But I want to do things that haven't been done, including fixing and making our inner cities better for the African-American citizens that are so great, and for the Latinos,",Trump,Louis,2016
33,"Hispanics, and I look forward to doing it. It's called make America great again.",Trump,Louis,2016
34,"Thank you, Mr. Trump. The question from Patrice was about are you both modeling positive and appropriate behavior for today's youth? We received a lot of questions online, Mr.",Moderator,Louis,2016
35,"Trump, about the tape that was released on Friday, as you can imagine. You called what you said locker room banter. You described kissing women without consent, grabbing their genitals. That is sexual assault.",Moderator,Louis,2016
