SpeechID,Speech,Speaker,Location,Year
1,"Good evening from the Thomas and Mack Center at the University of Nevada, Las Vegas.",Moderator,Nevada,2016
2,"I'm Chris Wallace of Fox News, and I welcome you to the third and final of the 2016 presidential debates between Secretary of State Hillary Clinton and Donald J. Trump.",Moderator,Nevada,2016
3,This debate is sponsored by the Commission on Presidential Debates.,Moderator,Nevada,2016
4,"The commission has designed the format: Six roughly 15-minute segments with two-minute answers to the first question, then open discussion for the rest of each segment. Both campaigns have agreed to those rules.",Moderator,Nevada,2016
5,"For the record, I decided the topics and the questions in each topic. None of those questions has been shared with the commission or the two candidates.",Moderator,Nevada,2016
6,"The audience here in the hall has promised to remain silent. No cheers, boos, or other interruptions so we and you can focus on what the candidates have to say.",Moderator,Nevada,2016
7,"No noise, except right now, as we welcome the Democratic nominee for president, Secretary Clinton, and the Republican nominee for president, Mr. Trump. Secretary Clinton, Mr. Trump, welcome. Let's get right to it.",Moderator,Nevada,2016
8,The first topic is the Supreme Court.,Moderator,Nevada,2016
9,"You both talked briefly about the court in the last debate, but I want to drill down on this, because the next president will almost certainly have at least one",Moderator,Nevada,2016
10,"appointment and likely or possibly two or three appointments. Which means that you will, in effect, determine the balance of the court for what could be the next quarter century.",Moderator,Nevada,2016
11,"First of all, where do you want to see the court take the country? And secondly, what's your view on how the Constitution should be interpreted?",Moderator,Nevada,2016
12,"Do the founders' words mean what they say or is it a living document to be applied flexibly according to changing circumstances? In this segment, Secretary Clinton, you go first. You have two minutes.",Moderator,Nevada,2016
13,"Thank you very much, Chris. And thanks to UNLV for hosting us.",Clinton,Nevada,2016
14,"You know, I think when we talk about the Supreme Court, it really raises the central issue in this election, namely, what kind of country are we going to be?",Clinton,Nevada,2016
15,What kind of opportunities will we provide for our citizens? What kind of rights will Americans have?,Clinton,Nevada,2016
16,"And I feel strongly that the Supreme Court needs to stand on the side of the American people, not on the side of the powerful corporations and the wealthy.",Clinton,Nevada,2016
17,"For me, that means that we need a Supreme Court that will stand up on behalf of women's rights, on behalf of the rights of the LGBT community, that will",Clinton,Nevada,2016
18,"stand up and say no to Citizens United, a decision that has undermined the election system in our country because of the way it permits dark, unaccountable money to come",Clinton,Nevada,2016
19,into our electoral system. I have major disagreements with my opponent about these issues and others that will be before the Supreme Court.,Clinton,Nevada,2016
20,"But I feel that at this point in our country's history, it is important that we not reverse marriage equality, that we not reverse Roe v.",Clinton,Nevada,2016
21,"Wade, that we stand up against Citizens United, we stand up for the rights of people in the workplace, that we stand up and basically say: The Supreme Court should represent all of us.",Clinton,Nevada,2016
22,"That's how I see the court, and the kind of people that I would be looking to nominate to the court would be in the great tradition of standing up",Clinton,Nevada,2016
23,"to the powerful, standing up on behalf of our rights as Americans. And I look forward to having that opportunity.",Clinton,Nevada,2016
24,I would hope that the Senate would do its job and confirm the nominee that President Obama has sent to them. That's the way the Constitution fundamentally should operate.,Clinton,Nevada,2016
25,"The president nominates, and then the Senate advises and consents, or not, but they go forward with the process.",Clinton,Nevada,2016
26,"Secretary Clinton, thank you. Mr. Trump, same question. Where do you want to see the court take the country? And how do you believe the Constitution should be interpreted?",Moderator,Nevada,2016
27,"Well, first of all, it's great to be with you, and thank you, everybody. The Supreme Court: It's what it's all about.",Trump,Nevada,2016
28,"Our country is so, so—it's just so imperative that we have the right justices.",Trump,Nevada,2016
29,"Something happened recently where Justice Ginsburg made some very, very inappropriate statements toward me and toward a tremendous number of people, many, many millions of people that I represent. And she was forced to apologize.",Trump,Nevada,2016
30,"And apologize she did. But these were statements that should never, ever have been made.",Trump,Nevada,2016
31,"We need a Supreme Court that in my opinion is going to uphold the Second Amendment, and all amendments, but the Second Amendment, which is under absolute siege.",Trump,Nevada,2016
32,"I believe if my opponent should win this race, which I truly don't think will happen, we will have a Second Amendment which will be a very, very small replica",Trump,Nevada,2016
33,"of what it is right now. But I feel that it's absolutely important that we uphold, because of the fact that it is under such trauma.",Trump,Nevada,2016
34,I feel that the justices that I am going to appoint—and I've named 20 of them—the justices that I'm going to appoint will be pro-life. They will have a conservative bent.,Trump,Nevada,2016
35,"They will be protecting the Second Amendment. They are great scholars in all cases, and they're people of tremendous respect. They will interpret the Constitution the way the founders wanted it interpreted.",Trump,Nevada,2016
36,"And I believe that's very, very important. I don't think we should have justices appointed that decide what they want to hear.",Trump,Nevada,2016
37,"It's all about the Constitution of—of—and so important, the Constitution the way it was meant to be. And those are the people that I will appoint.",Trump,Nevada,2016
38,"Mr. Trump, thank you. We now have about 10 minutes for an open discussion.",Moderator,Nevada,2016
39,"I want to focus on two issues that, in fact, by the justices that you name could end up changing the existing law of the land. First is one that you mentioned, Mr.",Moderator,Nevada,2016
40,"Trump, and that is guns.",Moderator,Nevada,2016
41,"Secretary Clinton, you said last year, let me quote, ""The Supreme Court is wrong on the Second Amendment."" And now, in fact, in the 2008 Heller case, the court ruled",Moderator,Nevada,2016
42,"that there is a constitutional right to bear arms, but a right that is reasonably limited. Those were the words of the Judge Antonin Scalia who wrote the decision. What's wrong with that?",Moderator,Nevada,2016
43,"Well, first of all, I support the Second Amendment. I lived in Arkansas for 18 wonderful years. I represented upstate New York. I understand and respect the tradition of gun ownership.",Clinton,Nevada,2016
44,It goes back to the founding of our country. But I also believe that there can be and must be reasonable regulation.,Clinton,Nevada,2016
45,"Because I support the Second Amendment doesn't mean that I want people who shouldn't have guns to be able to threaten you, kill you or members of your family.",Clinton,Nevada,2016
46,"And so when I think about what we need to do, we have 33,000 people a year who die from guns.",Clinton,Nevada,2016
47,"I think we need comprehensive background checks, need to close the online loophole, close the gun show loophole.",Clinton,Nevada,2016
48,There's other matters that I think are sensible that are the kind of reforms that would make a difference that are not in any way conflicting with the Second Amendment. You mentioned the Heller decision.,Clinton,Nevada,2016
49,"And what I was saying that you referenced, Chris, was that I disagreed with the way the court applied the Second Amendment in that case, because what the District of",Clinton,Nevada,2016
50,"Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them. And the court didn't accept that reasonable regulation, but they've accepted many others.",Clinton,Nevada,2016
51,So I see no conflict between saving people's lives and defending the Second Amendment.,Clinton,Nevada,2016
52,"Let me bring Mr. Trump in here. The bipartisan Open Debate Coalition got millions of votes on questions to ask here, and this was, in fact, one of the top questions that they got.",Moderator,Nevada,2016
53,How will you ensure the Second Amendment is protected? You just heard Secretary Clinton's answer.,Moderator,Nevada,2016
54,"Does she persuade you that, while you may disagree on regulation, that, in fact, she supports a Second Amendment right to bear arms?",Moderator,Nevada,2016
55,"Well, the D.C. vs. Heller decision was very strongly—and she was extremely angry about it. I watched. I mean, she was very, very angry when upheld. And Justice Scalia was so involved.",Trump,Nevada,2016
56,"And it was a well-crafted decision. But Hillary was extremely upset, extremely angry.",Trump,Nevada,2016
57,And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say.,Trump,Nevada,2016
58,"Well, let me bring in Secretary Clinton. Were you extremely upset?",Moderator,Nevada,2016
59,"Well, I was upset because, unfortunately, dozens of toddlers injure themselves, even kill people with guns, because, unfortunately, not everyone who has loaded guns in their homes takes appropriate precautions.",Clinton,Nevada,2016
60,"But there's no doubt that I respect the Second Amendment, that I also believe there's an individual right to bear arms. That is not in conflict with sensible, commonsense regulation.",Clinton,Nevada,2016
61,"And, you know, look, I understand that Donald's been strongly supported by the NRA. The gun lobby's on his side. They're running millions of dollars of ads against me.",Clinton,Nevada,2016
62,"And I regret that, because what I would like to see is for people to come together and say: Of course we're going to protect and defend the Second Amendment.",Clinton,Nevada,2016
63,"But we're going to do it in a way that tries to save some of these 33,000 lives that we lose every year.",Clinton,Nevada,2016
64,"Let me bring Mr. Trump back into this, because, in fact, you oppose any limits on assault weapons, any limits on high- capacity magazines. You support a national right to carry law. Why, sir?",Moderator,Nevada,2016
65,"Well, let me just tell you before we go any further.",Trump,Nevada,2016
66,"In Chicago, which has the toughest gun laws in the United States, probably you could say by far, they have more gun violence than any other city.",Trump,Nevada,2016
67,"So we have the toughest laws, and you have tremendous gun violence. I am a very strong supporter of the Second Amendment.",Trump,Nevada,2016
68,"And I am—I don't know if Hillary was saying it in a sarcastic manner, but I'm very proud to have the endorsement of the NRA.",Trump,Nevada,2016
69,And it's the earliest endorsement they've ever given to anybody who ran for president. So I'm very honored by all of that.,Trump,Nevada,2016
70,We are going to appoint justices—this is the best way to help the Second Amendment.,Trump,Nevada,2016
71,"We are going to appoint justices that will feel very strongly about the Second Amendment, that will not do damage to the Second Amendment.",Trump,Nevada,2016
72,"Well, let's pick up on another issue which divides you and the justices that whoever ends up winning this election appoints could have a dramatic effect there, and that's the issue of abortion.",Moderator,Nevada,2016
73,Right.,Trump,Nevada,2016
74,"Mr. Trump, you're pro-life. But I want to ask you specifically: Do you want the court, including the justices that you will name, to overturn Roe v.",Moderator,Nevada,2016
75,"Wade, which includes—in fact, states—a woman's right to abortion?",Moderator,Nevada,2016
76,"Well, if that would happen, because I am pro-life, and I will be appointing pro-life judges, I would think that that will go back to the individual states.",Trump,Nevada,2016
77,But I'm asking you specifically. Would you like to...,Moderator,Nevada,2016
78,"If they overturned it, it will go back to the states.",Trump,Nevada,2016
79,"But what I'm asking you, sir, is, do you want to see the court overturn—you just said you want to see the court protect the Second Amendment.",Moderator,Nevada,2016
80,Do you want to see the court overturn Roe v. Wade?,Moderator,Nevada,2016
81,"Well, if we put another two or perhaps three justice on, that's really what's going to be—that will happen. And that'll happen automatically, in my opinion, because I am putting pro-life justices on the court.",Trump,Nevada,2016
82,"I will say this: It will go back to the states, and the states will then make a determination.",Trump,Nevada,2016
83,Secretary Clinton?,Moderator,Nevada,2016
84,"Well, I strongly support Roe v. Wade, which guarantees a constitutional right to a woman to make the most intimate, most difficult, in many cases, decisions about her health care that one can imagine.",Clinton,Nevada,2016
85,"And in this case, it's not only about Roe v. Wade. It is about what's happening right now in America.",Clinton,Nevada,2016
86,"So many states are putting very stringent regulations on women that block them from exercising that choice to the extent that they are defunding Planned Parenthood, which, of course, provides",Clinton,Nevada,2016
87,all kinds of cancer screenings and other benefits for women in our country. Donald has said he's in favor of defunding Planned Parenthood. He even supported shutting the government down to defund Planned Parenthood.,Clinton,Nevada,2016
88,"I will defend Planned Parenthood. I will defend Roe v. Wade, and I will defend women's rights to make their own health care decisions.",Clinton,Nevada,2016
89,Secretary Clinton...,Moderator,Nevada,2016
90,"And we have come too far to have that turned back now. And, indeed, he said women should be punished, that there should be some form of punishment for women who obtain abortions.",Clinton,Nevada,2016
91,And I could just not be more opposed to that kind of thinking.,Clinton,Nevada,2016
92,"I'm going to give you a chance to respond, but I want to ask you, Secretary Clinton, I want to explore how far you believe the right to abortion goes.",Moderator,Nevada,2016
93,"You have been quoted as saying that the fetus has no constitutional rights. You also voted against a ban on late-term, partial-birth abortions. Why?",Moderator,Nevada,2016
94,Because Roe v. Wade very clearly sets out that there can be regulations on abortion so long as the life and the health of the mother are taken into account.,Clinton,Nevada,2016
95,"And when I voted as a senator, I did not think that that was the case.",Clinton,Nevada,2016
96,"The kinds of cases that fall at the end of pregnancy are often the most heartbreaking, painful decisions for families to make.",Clinton,Nevada,2016
97,"I have met with women who toward the end of their pregnancy get the worst news one could get, that their health is in jeopardy if they continue to carry",Clinton,Nevada,2016
98,to term or that something terrible has happened or just been discovered about the pregnancy. I do not think the United States government should be stepping in and making those most personal of decisions.,Clinton,Nevada,2016
99,So you can regulate if you are doing so with the life and the health of the mother taken into account.,Clinton,Nevada,2016
100,"Mr. Trump, your reaction? And particularly on this issue of late-term, partial-birth abortions.",Moderator,Nevada,2016
101,"Well, I think it's terrible.",Trump,Nevada,2016
102,"If you go with what Hillary is saying, in the ninth month, you can take the baby and rip the baby out of the womb of the mother just prior",Trump,Nevada,2016
103,"to the birth of the baby. Now, you can say that that's OK and Hillary can say that that's OK.",Trump,Nevada,2016
104,"But it's not OK with me, because based on what she's saying, and based on where she's going, and where she's been, you can take the baby and rip the",Trump,Nevada,2016
105,baby out of the womb in the ninth month on the final day. And that's not acceptable.,Trump,Nevada,2016
