SpeechID,Speech,Speaker,Location,Year
1,"Good evening, I'm David Muir. And thank you for joining us for tonight's ABC News Presidential Debate. We want to welcome viewers watching on ABC and around the world tonight.",Moderator,Philadelphia,2024
2,Vice President Kamala Harris and President Donald Trump are just moments away from taking the stage in this unprecedented race for president.,Moderator,Philadelphia,2024
3,"And I'm Linsey Davis. Tonight's meeting could be the most consequential event of their campaigns, with Election Day now less than two months away.",Moderator,Philadelphia,2024
4,"For Vice President Kamala Harris, this is her first debate since President Biden withdrew from the race on July 21st. Of course, that decision followed his debate against President Donald Trump in June.",Moderator,Philadelphia,2024
5,"Since then, this race has taken on an entirely new dynamic.",Moderator,Philadelphia,2024
6,And that brings us to the rules of tonight's debate: 90 minutes with two commercial breaks. No topics or questions have been shared with the campaigns. The candidates will have two minutes to answer questions.,Moderator,Philadelphia,2024
7,"And this is the clock. That's what they'll be seeing. Two minutes for rebuttals and one minute for follow-ups, clarifications or responses. Their microphones will only be turned on when it's their turn to speak.",Moderator,Philadelphia,2024
8,No prewritten notes allowed. There is no audience here tonight in this hall at the National Constitution Center. This is an intimate setting for two candidates who have never met.,Moderator,Philadelphia,2024
9,President Trump won the coin toss. He chose to deliver the final closing statement of the evening. Vice President Harris selected the podium to the right.,Moderator,Philadelphia,2024
10,So let's now welcome the candidates to the stage. Vice President Kamala Harris and President Donald Trump.,Moderator,Philadelphia,2024
11,Kamala Harris. Let's have a good debate.,Harris,Philadelphia,2024
12,Nice to see you. Have fun.,Trump,Philadelphia,2024
13,Thank you.,Harris,Philadelphia,2024
14,Thank you.,Trump,Philadelphia,2024
15,Welcome to you both. It's wonderful to have you. It's an honor to have you both here tonight.,Moderator,Philadelphia,2024
16,"Good evening, we are looking forward to a spirited and thoughtful debate.",Moderator,Philadelphia,2024
17,"So let's get started. I want to begin tonight with the issue voters repeatedly say is their number one issue, and that is the economy and the cost of living in this country.",Moderator,Philadelphia,2024
18,"Vice President Harris, you and President Trump were elected four years ago and your opponent on the stage here tonight often asks his supporters, are you better off than you were four years ago?",Moderator,Philadelphia,2024
19,"When it comes to the economy, do you believe Americans are better off than they were four years ago?",Moderator,Philadelphia,2024
20,"So, I was raised as a middle-class kid. And I am actually the only person on this stage who has a plan that is about lifting up the middle class and working people of America.",Harris,Philadelphia,2024
21,"I believe in the ambition, the aspirations, the dreams of the American people. And that is why I imagine and have actually a plan to build what I call an opportunity economy.",Harris,Philadelphia,2024
22,"Because here's the thing. We know that we have a, a shortage of homes and housing, and the cost of housing is too expensive for far too many people.",Harris,Philadelphia,2024
23,We know that young families need support to raise their children.,Harris,Philadelphia,2024
24,"And I intend on extending a tax cut for those families of $6,000, which is the largest child tax credit that we have given in a long time.",Harris,Philadelphia,2024
25,"So that those young families can afford to buy a crib, buy a car seat, buy clothes for their children. My passion, one of them, is small businesses.",Harris,Philadelphia,2024
26,I was actually--my mother raised my sister and me but there was a woman who helped raise us. We call her our second mother. She was a small business owner. I love our small businesses.,Harris,Philadelphia,2024
27,"My plan is to give a $50,000 tax deduction to start up small businesses, knowing they are part of the backbone of America's economy.",Harris,Philadelphia,2024
28,"My opponent, on the other hand, his plan is to do what he has done before, which is to provide a tax cut for billionaires and big corporations, which will",Harris,Philadelphia,2024
29,result in $5 trillion to America's deficit.,Harris,Philadelphia,2024
30,"My opponent has a plan that I call the Trump sales tax, which would be a 20% tax on everyday goods that you rely on to get through the month.",Harris,Philadelphia,2024
31,"Economists have said that that Trump's sales tax would actually result for middle-class families in about $4,000 more a year because of his policies and his ideas about what should",Harris,Philadelphia,2024
32,be the backs of middle-class people paying for tax cuts for billionaires.,Harris,Philadelphia,2024
33,"President Trump, I'll give you two minutes.",Moderator,Philadelphia,2024
34,"First of all, I have no sales tax. That's an incorrect statement. She knows that. We're doing tariffs on other countries.",Trump,Philadelphia,2024
35,"Other countries are going to finally, after 75 years, pay us back for all that we've done for the world. And the tariff will be substantial in some cases.",Trump,Philadelphia,2024
36,"I took in billions and billions of dollars, as you know, from China. In fact, they never took the tariff off because it was so much money, they can't.",Trump,Philadelphia,2024
37,It would totally destroy everything that they've set out to do. They're taking in billions of dollars from China and other places. They've left the tariffs on.,Trump,Philadelphia,2024
38,"When I had it, I had tariffs and yet I had no inflation. Uh, look, we've had a terrible economy because inflation has--which is really known as a country buster. It breaks up countries.",Trump,Philadelphia,2024
39,We have inflation like very few people have ever seen before. Probably the worst in our nation's history. We were at 21%.,Trump,Philadelphia,2024
40,"But that's being generous because many things are 50, 60, 70, and 80% higher than they were just a few years ago.",Trump,Philadelphia,2024
41,"This has been a disaster for people, for the middle class, but for every class.",Trump,Philadelphia,2024
42,"On top of that, we have millions of people pouring into our country from prisons and jails, from mental institutions and insane asylums.",Trump,Philadelphia,2024
43,And they're coming in and they're taking jobs that are occupied right now by African Americans and Hispanics and also unions. Unions are going to be affected very soon. And you see what's happening.,Trump,Philadelphia,2024
44,"You see what's happening with towns throughout the United States. You look at Springfield, Ohio. You look at Aurora in Colorado. They are taking over the towns. They're taking over buildings. They're going in violently.",Trump,Philadelphia,2024
45,These are the people that she and Biden let into our country. And they're destroying our country. They're dangerous. They're at the highest level of criminality. And we have to get 'em out.,Trump,Philadelphia,2024
46,We have to get 'em out fast. I created one of the greatest economies in the history of our country. I'll do it again and even better.,Trump,Philadelphia,2024
47,We are going to get to immigration and border security during this debate. But I would like to let Vice President Harris respond on the economy here.,Moderator,Philadelphia,2024
48,"Well, I would love to. Let's talk about what Donald Trump left us. Donald Trump left us the worst unemployment since the Great Depression.",Harris,Philadelphia,2024
49,Donald Trump left us the worst public health epidemic in a century. Donald Trump left us the worst attack on our democracy since the Civil War.,Harris,Philadelphia,2024
50,And what we have done is clean up Donald Trump's mess.,Harris,Philadelphia,2024
51,What we have done and what I intend to do is build on what we know are the aspirations and the hopes of the American people.,Harris,Philadelphia,2024
52,"But I'm going to tell you all, in this debate tonight, you're gonna hear from the same old, tired playbook, a bunch of lies, grievances and name-calling.",Harris,Philadelphia,2024
53,What you're gonna hear tonight is a detailed and dangerous plan called Project 2025 that the former president intends on implementing if he were elected again.,Harris,Philadelphia,2024
54,I believe very strongly that the American people want a president who understands the importance of bringing us together knowing we have so much more in common than what separates us.,Harris,Philadelphia,2024
55,And I pledge to you to be a president for all Americans.,Harris,Philadelphia,2024
56,"President Trump, I'll give you a minute here to respond.",Moderator,Philadelphia,2024
57,"Number one, I have nothing to do, as you know and as she knows better than anyone, I have nothing to do with Project 2025. That's out there. I haven't read it.",Trump,Philadelphia,2024
58,"I don't wanna read it, purposely. I'm not going to read it. This was a group of people that got together, they came up with some ideas. I guess some good, some bad.",Trump,Philadelphia,2024
59,But it makes no difference. I have nothing to do--everybody knows I'm an open book. Everybody knows what I'm going to do. Cut taxes very substantially. And create a great economy like I did before.,Trump,Philadelphia,2024
60,We had the greatest economy. We got hit with a pandemic. And the pandemic was--not since 1917 where 100 million people died has there been anything like it.,Trump,Philadelphia,2024
61,We did a phenomenal job with the pandemic. We handed them over a country where the economy and where the stock market was higher than it was before the pandemic came in.,Trump,Philadelphia,2024
62,Nobody's ever seen anything like it. We made ventilators for the entire world. We got gowns. We got masks. We did things that nobody thought possible. And people give me credit for rebuilding the military.,Trump,Philadelphia,2024
63,"They give me credit for a lot of things. But not enough credit for the great job we did with the pandemic. But the only jobs they got were bounce-back jobs. These were jobs, bounce-back.",Trump,Philadelphia,2024
64,And it bounced back and it went to their benefit. But I was the one that created them. They know it and so does everybody else.,Trump,Philadelphia,2024
65,"Vice President Harris, I'll let you respond.",Moderator,Philadelphia,2024
66,"So, Donald Trump has no plan for you. And when you look at his economic plan, it's all about tax breaks for the richest people.",Harris,Philadelphia,2024
67,"I am offering what I describe as an opportunity economy, and the best economists in our country, if not the world, have reviewed our relative plans for the future of America.",Harris,Philadelphia,2024
68,What Goldman Sachs has said is that Donald Trump's plan would make the economy worse. Mine would strengthen the economy. What the Wharton School has said is Donald Trump's plan would actually explode the deficit.,Harris,Philadelphia,2024
69,"Sixteen Nobel laureates have described his economic plan as something that would increase inflation and, by the middle of next year, would invite a recession.",Harris,Philadelphia,2024
70,You just have to look at where we are and where we stand on the issues.,Harris,Philadelphia,2024
71,"And I'd invite you to know that Donald Trump actually has no plan for you, because he is more interested in defending himself than he is in looking out for you.",Harris,Philadelphia,2024
72,That's just a sound bite. They gave her that to say.,Trump,Philadelphia,2024
73,"Look, I went to the Wharton School of Finance and many of those professors, the top professors, think my plan is a brilliant plan, it's a great plan.",Trump,Philadelphia,2024
74,"It's a plan that's gonna bring up our worth, our value as a country.",Trump,Philadelphia,2024
75,"It's going to make people want to be able to go and work and, uh, create jobs and create a lot of good, solid money for our--for our country.",Trump,Philadelphia,2024
76,"And just to finish off, uh, she doesn't have a plan. She copied Biden's plan. And it's like four sentences, like run-Spot-run. Four sentences that are just oh, we'll try and lower taxes.",Trump,Philadelphia,2024
77,She doesn't have a plan. Take a look at her plan. She doesn't have a plan.,Trump,Philadelphia,2024
78,"Mr. President, I do want to drill down on something you both brought up.",Moderator,Philadelphia,2024
